"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"PharmaceuticalProduct_withbox","","","",0,*,"","","","","VMPP logical model","VMPP logical model.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"PharmaceuticalProduct_withbox.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for this medication","Business identifier for this medication","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.identifier",0,*,"",""
"PharmaceuticalProduct_withbox.code","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Code that identifies this medication","Code that identifies this medication","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.code",0,*,"",""
"PharmaceuticalProduct_withbox.version","","","",0,1,"","","","string {[]} {[]}
","business version of the product","business version of the product","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.version",0,1,"",""
"PharmaceuticalProduct_withbox.regulatoryStatus","","","",0,1,"","","","string {[]} {[]}
","active non active","active non active","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.regulatoryStatus",0,1,"",""
"PharmaceuticalProduct_withbox.domain","","","",0,1,"","","","string {[]} {[]}
","human or veterinary","human or veterinary","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.domain",0,1,"",""
"PharmaceuticalProduct_withbox.indication","","","",0,*,"","","","CodeableConcept {[]} {[]}
","indication of the product","human or veterinary","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.indication",0,*,"",""
"PharmaceuticalProduct_withbox.associatedCondition","","","",0,*,"","","","CodeableConcept {[]} {[]}
","associated conditions","associated conditions","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.associatedCondition",0,*,"",""
"PharmaceuticalProduct_withbox.name","","","",1,*,"","","","BackboneElement {[]} {[]}
","Product Name","Product Name","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.name",1,*,"",""
"PharmaceuticalProduct_withbox.name.productName","","","",1,1,"","","","string {[]} {[]}
","actual name of the product","actual name of the product","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.name.productName",1,1,"",""
"PharmaceuticalProduct_withbox.name.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","type of naming","type of naming","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.name.type",1,1,"",""
"PharmaceuticalProduct_withbox.name.namePart","","","",0,*,"","","","BackboneElement {[]} {[]}
","selecting parts of name for inteligeble purposes","selecting parts of name for inteligeble purposes","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.name.namePart",0,*,"",""
"PharmaceuticalProduct_withbox.name.namePart.part","","","",1,1,"","","","string {[]} {[]}
","part of name","part of name","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.name.namePart.part",1,1,"",""
"PharmaceuticalProduct_withbox.name.namePart.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","type of elemente defining -strength, pharmaceutical form, etc","type of elemente defining -strength, pharmaceutical form, etc","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.name.namePart.type",1,1,"",""
"PharmaceuticalProduct_withbox.name.countryLanguage","","","",0,*,"","","","BackboneElement {[]} {[]}
","country for which country the name is defined","country for which country the name is defined","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.name.countryLanguage",0,*,"",""
"PharmaceuticalProduct_withbox.name.countryLanguage.country","","","",1,1,"","","","CodeableConcept {[]} {[]}
","country","country","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.name.countryLanguage.country",1,1,"",""
"PharmaceuticalProduct_withbox.name.countryLanguage.jurisdiction","","","",0,1,"","","","CodeableConcept {[]} {[]}
","jurisdiction that applies","jurisdiction that applies","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.name.countryLanguage.jurisdiction",0,1,"",""
"PharmaceuticalProduct_withbox.name.countryLanguage.language","","","",1,1,"","","","CodeableConcept {[]} {[]}
","language applicable","language applicable","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.name.countryLanguage.language",1,1,"",""
"PharmaceuticalProduct_withbox.granularity","","","",0,1,"","","","CodeableConcept {[]} {[]}
","level of product, substance, pharmaceutical product, medicinal product or packaged medicinal product","level of product, substance, pharmaceutical product, medicinal product or packaged medicinal product","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.granularity",0,1,"",""
"PharmaceuticalProduct_withbox.kinetics","","","",0,1,"","","","BackboneElement {[]} {[]}
","pharmacokinetics information","pharmacokinetics information","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.kinetics",0,1,"",""
"PharmaceuticalProduct_withbox.kinetics.areaUnderCurve","","","",0,1,"","","","BackboneElement {[]} {[]}
","auc values","auc values","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.kinetics.areaUnderCurve",0,1,"",""
"PharmaceuticalProduct_withbox.kinetics.areaUnderCurve.value","","","",1,1,"","","","decimal {[]} {[]}
","value of auc","value of auc","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.kinetics.areaUnderCurve.value",1,1,"",""
"PharmaceuticalProduct_withbox.kinetics.areaUnderCurve.unit","","","",1,1,"","","","string {[]} {[]}
","unit of auc","unit of auc","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.kinetics.areaUnderCurve.unit",1,1,"",""
"PharmaceuticalProduct_withbox.kinetics.halfLifePeriod","","","",0,1,"","","","BackboneElement {[]} {[]}
","half life period of drug","half life period of drug","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.kinetics.halfLifePeriod",0,1,"",""
"PharmaceuticalProduct_withbox.kinetics.halfLifePeriod.value","","","",1,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/allergyintolerance-duration]]} {[]}
","value","value","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.kinetics.halfLifePeriod.value",1,1,"",""
"PharmaceuticalProduct_withbox.kinetics.halfLifePeriod.administration","","","",1,1,"","","","BackboneElement {[]} {[]}
","administration method of the half life period","administration method of the half life period","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.kinetics.halfLifePeriod.administration",1,1,"",""
"PharmaceuticalProduct_withbox.kinetics.halfLifePeriod.administration.route","","","",0,1,"","","","string {[]} {[]}
","route of administration","route of administration","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.kinetics.halfLifePeriod.administration.route",0,1,"",""
"PharmaceuticalProduct_withbox.kinetics.halfLifePeriod.administration.value","","","",1,1,"","","","decimal {[]} {[]}
","quantity ","quantity ","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.kinetics.halfLifePeriod.administration.value",1,1,"",""
"PharmaceuticalProduct_withbox.kinetics.halfLifePeriod.administration.unit","","","",1,1,"","","","string {[]} {[]}
","unit of quantity administered","unit of quantity administered","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.kinetics.halfLifePeriod.administration.unit",1,1,"",""
"PharmaceuticalProduct_withbox.kinetics.bioavailability","","","",0,1,"","","","BackboneElement {[]} {[]}
","bioavailability of product","bioavailability of product","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.kinetics.bioavailability",0,1,"",""
"PharmaceuticalProduct_withbox.kinetics.bioavailability.value","","","",1,1,"","","","decimal {[]} {[]}
","value for bioavailability","value for bioavailability","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.kinetics.bioavailability.value",1,1,"",""
"PharmaceuticalProduct_withbox.kinetics.bioavailability.unit","","","",1,1,"","","","string {[]} {[]}
","unit for bioavailability","unit for bioavailability","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.kinetics.bioavailability.unit",1,1,"",""
"PharmaceuticalProduct_withbox.kinetics.bioavailability.route","","","",0,1,"","","","string {[]} {[]}
","route for which it was administered","route for which it was administered","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.kinetics.bioavailability.route",0,1,"",""
"PharmaceuticalProduct_withbox.kinetics.elimination","","","",0,*,"","","","string {[]} {[]}
","eliminination format of drug","eliminination format of drug","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.kinetics.elimination",0,*,"",""
"PharmaceuticalProduct_withbox.kinetics.LD50","","","",0,1,"","","","BackboneElement {[]} {[]}
","lethal dose 50% for product","lethal dose 50% for product","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.kinetics.LD50",0,1,"",""
"PharmaceuticalProduct_withbox.kinetics.LD50.value","","","",1,1,"","","","decimal {[]} {[]}
","value for LD50","value for LD50","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.kinetics.LD50.value",1,1,"",""
"PharmaceuticalProduct_withbox.kinetics.LD50.unit","","","",1,1,"","","","string {[]} {[]}
","unit for LD50","unit for LD50","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.kinetics.LD50.unit",1,1,"",""
"PharmaceuticalProduct_withbox.kinetics.LD50.route","","","",0,1,"","","","string {[]} {[]}
","route for LD50","route for LD50","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.kinetics.LD50.route",0,1,"",""
"PharmaceuticalProduct_withbox.kinetics.LD50.document","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference]]}
","documentation of test","documentation of test","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.kinetics.LD50.document",0,1,"",""
"PharmaceuticalProduct_withbox.kinetics.LD50.specimen","","","",0,1,"","","","string {[]} {[]}
","specimen tested","specimen tested","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.kinetics.LD50.specimen",0,1,"",""
"PharmaceuticalProduct_withbox.mechanismOfAction","","","",0,1,"","","","string {[]} {[]}
","mechanism of action of drug","mechanism of action of drug","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.mechanismOfAction",0,1,"",""
"PharmaceuticalProduct_withbox.drugType","","","",0,1,"","","","string {[]} {[]}
","type of drug - small molecule, biologic, etc","type of drug - small molecule, biologic, etc","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.drugType",0,1,"",""
"PharmaceuticalProduct_withbox.sideEffects","","","",0,*,"","","","CodeableConcept {[]} {[]}
","side effects known","side effects known","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.sideEffects",0,*,"",""
"PharmaceuticalProduct_withbox.interactions","","","",0,*,"","","","BackboneElement {[]} {[]}
","known interactions","known interactions","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.interactions",0,*,"",""
"PharmaceuticalProduct_withbox.interactions.type","","","",1,1,"","","","string {[]} {[]}
","type of interaction","type of interaction","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.interactions.type",1,1,"",""
"PharmaceuticalProduct_withbox.interactions.substance","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationKnowledge]]}
","product","product","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.interactions.substance",1,1,"",""
"PharmaceuticalProduct_withbox.interactions.reaction","","","",0,1,"","","","string {[]} {[]}
","what is the reaction","what is the reaction","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.interactions.reaction",0,1,"",""
"PharmaceuticalProduct_withbox.interactions.riskLevel","","","",0,1,"","","","string {[]} {[]}
","level of risk","level of risk","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.interactions.riskLevel",0,1,"",""
"PharmaceuticalProduct_withbox.interactions.clinicalIssue","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DetectedIssue]]}
","reference for clinicalIssue","reference for clinicalIssue","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.interactions.clinicalIssue",0,*,"",""
"PharmaceuticalProduct_withbox.contraIndication","","","",0,*,"","","","CodeableConcept {[]} {[]}
","contraindication","contraindication","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.contraIndication",0,*,"",""
"PharmaceuticalProduct_withbox.masterfile","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference]]}
","masterfile from where the product comes from","masterfile from where the product comes from","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.masterfile",0,*,"",""
"PharmaceuticalProduct_withbox.classification","","","",0,*,"","","","CodeableConcept {[]} {[]}
","drug classification, atc, internal, etc","drug classification, atc, internal, etc","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.classification",0,*,"",""
"PharmaceuticalProduct_withbox.drugCharacteristics","","","",0,*,"","","","CodeableConcept {[]} {[]}
","characteristics for drug, opioid, etc","characteristics for drug, opioid, etc","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.drugCharacteristics",0,*,"",""
"PharmaceuticalProduct_withbox.administratitionRoute","","","",1,*,"","","","BackboneElement {[]} {[]}
","route for administrating","route for administrating","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.administratitionRoute",1,*,"",""
"PharmaceuticalProduct_withbox.administratitionRoute.route","","","",1,1,"","","","CodeableConcept {[]} {[]}
","route for administrating","route for administrating","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.administratitionRoute.route",1,1,"",""
"PharmaceuticalProduct_withbox.administratitionRoute.type","","","",1,1,"","","","string {[]} {[]}
","type of route administration, offlabel, official","type of route administration, offlabel, official","","","","","","","","","",,,,,"",,,,"PharmaceuticalProduct_withbox.administratitionRoute.type",1,1,"",""
