"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"MedicationFull","","","",0,*,"","","","","Medication Knowledge by me logical model","","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"MedicationFull.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for this medication","Business identifier for this medication","","","","","","","","","",,,,,"",,,,"MedicationFull.identifier",0,*,"",""
"MedicationFull.code","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Code that identifies this medication","Code that identifies this medication","","","","","","","","","",,,,,"",,,,"MedicationFull.code",0,*,"",""
"MedicationFull.version","","","",0,1,"","","","string {[]} {[]}
","business version of the product","business version of the product","","","","","","","","","",,,,,"",,,,"MedicationFull.version",0,1,"",""
"MedicationFull.regulatoryStatus","","","",0,1,"","","","string {[]} {[]}
","active non active","active non active","","","","","","","","","",,,,,"",,,,"MedicationFull.regulatoryStatus",0,1,"",""
"MedicationFull.domain","","","",0,1,"","","","string {[]} {[]}
","human or veterinary","human or veterinary","","","","","","","","","",,,,,"",,,,"MedicationFull.domain",0,1,"",""
"MedicationFull.indication","","","",0,*,"","","","CodeableConcept {[]} {[]}
","indication of the product","indication of the product","","","","","","","","","",,,,,"",,,,"MedicationFull.indication",0,*,"",""
"MedicationFull.associatedCondition","","","",0,*,"","","","CodeableConcept {[]} {[]}
","associated conditions","associated conditions","","","","","","","","","",,,,,"",,,,"MedicationFull.associatedCondition",0,*,"",""
"MedicationFull.name","","","",1,*,"","","","BackboneElement {[]} {[]}
","Product Name","Product Name","","","","","","","","","",,,,,"",,,,"MedicationFull.name",1,*,"",""
"MedicationFull.name.productName","","","",1,1,"","","","string {[]} {[]}
","actual name of the product","actual name of the product","","","","","","","","","",,,,,"",,,,"MedicationFull.name.productName",1,1,"",""
"MedicationFull.name.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","type of naming","type of naming","","","","","","","","","",,,,,"",,,,"MedicationFull.name.type",1,1,"",""
"MedicationFull.name.namePart","","","",0,*,"","","","BackboneElement {[]} {[]}
","selecting parts of name for inteligeble purposes","selecting parts of name for inteligeble purposes","","","","","","","","","",,,,,"",,,,"MedicationFull.name.namePart",0,*,"",""
"MedicationFull.name.namePart.part","","","",1,1,"","","","string {[]} {[]}
","part of name","part of name","","","","","","","","","",,,,,"",,,,"MedicationFull.name.namePart.part",1,1,"",""
"MedicationFull.name.namePart.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","type of elemente defining -strength, pharmaceutical form, etc","type of elemente defining -strength, pharmaceutical form, etc","","","","","","","","","",,,,,"",,,,"MedicationFull.name.namePart.type",1,1,"",""
"MedicationFull.name.countryLanguage","","","",0,*,"","","","BackboneElement {[]} {[]}
","country for which country the name is defined","country for which country the name is defined","","","","","","","","","",,,,,"",,,,"MedicationFull.name.countryLanguage",0,*,"",""
"MedicationFull.name.countryLanguage.country","","","",1,1,"","","","CodeableConcept {[]} {[]}
","country","country","","","","","","","","","",,,,,"",,,,"MedicationFull.name.countryLanguage.country",1,1,"",""
